Postal,Lat,Lon,Address
791409,1.38901642,103.8771554,409A FERNVALE RD
791405,1.388822916,103.873859,405A FERNVALE LANE
793405,1.389194667,103.8734374,405C FERNVALE LANE
793403,1.388318481,103.8729357,403C FERNVALE LANE
794403,1.388219384,103.8731789,403D FERNVALE LANE
792403,1.388791435,103.8729798,403B FERNVALE LANE
793406,1.388679048,103.8747026,406C FERNVALE RD
791404,1.388348217,103.8738149,404A FERNVALE LANE
792409,1.389498161,103.877012,409B FERNVALE RD
791408,1.38876434,103.8762119,408A FERNVALE RD
793408,1.389244713,103.8765563,408C FERNVALE RD
792407,1.388997392,103.875148,407B FERNVALE RD
791407,1.388268533,103.8752721,407A FERNVALE RD
541268,1.384168694,103.8966479,268A COMPASSVALE LINK
543268,1.384767061,103.8959578,268C COMPASSVALE LINK
542267,1.383199995,103.8974332,267B COMPASSVALE LINK
542268,1.384455569,103.8962528,268B COMPASSVALE LINK
544268,1.385079303,103.8958527,268D COMPASSVALE LINK
543269,1.383511983,103.896374,269C COMPASSVALE LINK
544269,1.383442132,103.896801,269D COMPASSVALE LINK
542212,1.386185145,103.9005512,212B COMPASSVALE DR
541212,1.386398218,103.89996,212A COMPASSVALE DR
541213,1.385816244,103.9002069,213A COMPASSVALE LANE
791435,1.393398979,103.8762905,435A FERNVALE RD
793435,1.393599788,103.876913,435C FERNVALE RD
792434,1.394609604,103.8765855,434B FERNVALE RD
523497,1.358834289,103.9590753,497D TAMPINES ST 45
521497,1.358682997,103.9580245,497B TAMPINES ST 45
525497,1.36034648,103.9597168,497G TAMPINES ST 45
524497,1.359763243,103.9590111,497F TAMPINES ST 45
526497,1.359915721,103.9600594,497H TAMPINES ST 45
520498,1.361540567,103.9580574,498A TAMPINES ST 45
529498,1.361890482,103.9577415,498M TAMPINES ST 45
526498,1.362957915,103.9575153,498H TAMPINES ST 45
524498,1.361910172,103.9586667,498F TAMPINES ST 45
525498,1.362278449,103.9581219,498G TAMPINES ST 45
527498,1.363235385,103.9568941,498J TAMPINES ST 45
730514,1.434597813,103.7896726,514 WOODLANDS DR 14
730530,1.431411206,103.7931869,530 WOODLANDS DR 14
730511,1.433452957,103.788654,511 WOODLANDS DR 14
730515,1.434686375,103.7904532,515 WOODLANDS DR 14
730513,1.433866986,103.789473,513 WOODLANDS DR 14
730529,1.431634146,103.792879,529 WOODLANDS DR 14
730512,1.434232389,103.7888572,512 WOODLANDS DR 14
730509,1.432719712,103.7891156,509 WOODLANDS DR 14
730516,1.434695543,103.7910487,516 WOODLANDS DR 14
730536,1.43144901,103.7918991,536 WOODLANDS DR 14
730510,1.432761015,103.7884971,510 WOODLANDS DR 14
730532,1.430800055,103.7923732,532 WOODLANDS DR 14
730534,1.430611865,103.7916741,534 WOODLANDS DR 14
730527,1.43173161,103.7921062,527 WOODLANDS DR 14
731681,1.439533541,103.8037973,681A WOODLANDS DR 62
760770,1.42448626,103.8322514,770 YISHUN AVE 3
760610,1.420579381,103.836103,610 YISHUN ST 61
760755,1.427078207,103.8327061,755 YISHUN ST 72
760265,1.436533109,103.8386779,265 YISHUN ST 22
760609,1.420989793,103.836353,609 YISHUN ST 61
760259,1.434980064,103.8389647,259 YISHUN ST 22
760312,1.431416566,103.8414574,312 YISHUN RING RD
760272,1.438097638,103.8396421,272 YISHUN ST 22
760646,1.42211203,103.8374914,646 YISHUN ST 61
760728,1.425789629,103.830527,728 YISHUN ST 71
760613,1.420066635,103.8352837,613 YISHUN ST 61
760647,1.422564133,103.8372739,647 YISHUN ST 61
760662,1.420539324,103.8406901,662 YISHUN AVE 4
760774,1.423529489,103.8318719,774 YISHUN AVE 3
760174,1.437395453,103.8319391,174 YISHUN AVE 7
760620,1.418923552,103.8346742,620 YISHUN RING RD
760879,1.414441679,103.8361178,879 YISHUN ST 81
760289,1.440524493,103.8390055,289 YISHUN AVE 6
760166,1.436283861,103.8316066,166 YISHUN RING RD
760804,1.417900674,103.8313453,804 YISHUN RING RD
760718,1.42681828,103.8285128,718 YISHUN ST 71
760722,1.425667158,103.8290161,722 YISHUN ST 71
760173,1.437066282,103.8311207,173 YISHUN AVE 7
760602,1.422547191,103.8363053,602 YISHUN ST 61
760638,1.420259122,103.8385663,638 YISHUN ST 61
760717,1.425752338,103.8281044,717 YISHUN ST 71
760639,1.420560238,103.8384492,639 YISHUN ST 61
760799,1.419140508,103.8325924,799 YISHUN RING RD
760725,1.426956151,103.83071,725 YISHUN ST 71
760790,1.420000055,103.8337945,790 YISHUN AVE 2
760167,1.43661283,103.8323565,167 YISHUN RING RD
760715,1.426389113,103.8269108,715 YISHUN ST 71
760729,1.425852856,103.8315983,729 YISHUN ST 71
760655,1.42279633,103.8398349,655 YISHUN AVE 4
760311,1.431575071,103.8408153,311 YISHUN RING RD
760607,1.421386044,103.8356042,607 YISHUN ST 61
760760,1.425794855,103.8327247,760 YISHUN ST 72
760868,1.413823322,103.8373383,868 YISHUN ST 81
760636,1.419797493,103.8393128,636 YISHUN ST 61
760660,1.42162688,103.8397046,660 YISHUN AVE 4
760288,1.439945497,103.8376243,288 YISHUN AVE 6
760637,1.420069051,103.8391333,637 YISHUN ST 61
760635,1.419230704,103.8389821,635 YISHUN ST 61
760657,1.422240771,103.839349,657 YISHUN AVE 4
760653,1.423079814,103.8396668,653 YISHUN AVE 4
760634,1.418930263,103.8391001,634 YISHUN ST 61
760730,1.427233299,103.831528,730 YISHUN ST 71
760625,1.418173615,103.8361904,625 YISHUN ST 61
760788,1.421064828,103.8339785,788 YISHUN AVE 2
760626,1.417493669,103.835749,626 YISHUN ST 61
760663,1.419886313,103.8400518,663 YISHUN AVE 4
760786,1.421379458,103.8320547,786 YISHUN RING RD
760719,1.42688085,103.8293031,719 YISHUN ST 71
760612,1.420360739,103.8354176,612 YISHUN ST 61
760773,1.423214181,103.8330493,773 YISHUN AVE 3
760651,1.423365101,103.8391035,651 YISHUN AVE 4
760603,1.422056845,103.8356601,603 YISHUN ST 61
760619,1.419114769,103.8349352,619 YISHUN RING RD
760713,1.427528119,103.8274166,713 YISHUN ST 71
760716,1.426157266,103.8274494,716 YISHUN ST 71
760435,1.421332274,103.847281,435 YISHUN AVE 6
760427,1.422069069,103.8480918,427 YISHUN AVE 11
760389,1.429569991,103.8480205,389 YISHUN AVE 6
760329,1.430301256,103.8426182,329 YISHUN RING RD
760425,1.422422421,103.8483265,425 YISHUN AVE 11
760407,1.425907134,103.8481699,407 YISHUN AVE 6
760395,1.428849419,103.847221,395 YISHUN RING RD
760433,1.420911806,103.8472933,433 YISHUN AVE 6
760388,1.429169585,103.8472128,388 YISHUN RING RD
760423,1.422842965,103.8483138,423 YISHUN AVE 11
760437,1.421687526,103.8475607,437 YISHUN AVE 6
760439,1.421993263,103.846147,439 YISHUN AVE 11
760404,1.426576808,103.8481442,404 YISHUN AVE 6
760331,1.430613135,103.8430536,331 YISHUN RING RD
760644,1.421707735,103.8374745,644 YISHUN ST 61
760440,1.422331396,103.8461331,440 YISHUN AVE 11
760403,1.426937264,103.8485532,403 YISHUN AVE 6
760714,1.427016517,103.8276626,714 YISHUN ST 71
760875,1.41476321,103.836287,875 YISHUN ST 81
730659,1.435997973,103.7990658,659 WOODLANDS RING RD
730756,1.445792526,103.7933814,756 WOODLANDS AVE 4
730611,1.435426092,103.7969988,611 WOODLANDS RING RD
730777,1.447860593,103.799328,777 WOODLANDS CRES
730607,1.43665493,103.7962315,607 WOODLANDS RING RD
730758,1.445793293,103.7954527,758 WOODLANDS AVE 6
730661,1.435359721,103.7988337,661 WOODLANDS RING RD
732628,1.434127706,103.8006171,628B WOODLANDS RING RD
730501,1.432925242,103.792007,501 WOODLANDS DR 14
731759,1.446602397,103.7960425,759 WOODLANDS AVE 6
730651,1.438322013,103.799572,651 WOODLANDS RING RD
730761,1.446575658,103.7968617,761 WOODLANDS AVE 6
730752,1.44560469,103.7949086,752 WOODLANDS CIRCLE
732625,1.43341655,103.8000127,625B WOODLANDS DR 52
730612,1.435081893,103.7967331,612 WOODLANDS AVE 4
732624,1.43477317,103.7999448,624B WOODLANDS DR 52
731625,1.43364126,103.7996191,625A WOODLANDS DR 52
